26.9078; 4.5754; 1.6552; 1.5110; -2.8717; 0.0000; 0.0039; 2.5000
26.7009; 4.5181; 1.5861; 1.4437; -2.8689; 0.2146; 0.0039; 2.5000
26.3704; 4.4251; 1.5840; 1.5164; -2.8657; 0.5581; 0.0032; 2.5000
26.1607; 4.3652; 1.5847; 1.4658; -2.8619; 0.7761; 0.0033; 2.5000
25.9274; 4.2978; 1.6225; 1.4938; -2.8587; 1.0189; 0.0034; 2.5000
25.6749; 4.2240; 1.6051; 1.3999; -2.8550; 1.2820; 0.0036; 2.5000
25.4077; 4.1447; 1.6070; 1.4135; -2.8509; 1.5607; 0.0039; 2.5000
25.1303; 4.0611; 1.6910; 1.3540; -2.8461; 1.8505; 0.0044; 2.5000
24.8471; 3.9740; 1.5586; 1.3123; -2.8404; 2.1467; 0.0051; 2.5000
24.5626; 3.8847; 1.5611; 1.3186; -2.8340; 2.4449; 0.0057; 2.5000
24.2802; 3.7940; 1.6191; 1.3709; -2.8276; 2.7415; 0.0052; 2.5000
24.0004; 3.7022; 1.5960; 1.3950; -2.8219; 3.0360; 0.0045; 2.5000
23.7232; 3.6096; 1.5760; 1.4160; -2.8171; 3.3283; 0.0037; 2.5000
23.4485; 3.5165; 1.6000; 1.4127; -2.8133; 3.6183; 0.0029; 2.5000
23.1763; 3.4233; 1.6469; 1.3833; -2.8103; 3.9061; 0.0021; 2.5000
22.9065; 3.3301; 1.6762; 1.3596; -2.8084; 4.1915; 0.0013; 2.5000
22.6392; 3.2374; 1.6905; 1.3344; -2.8074; 4.4744; 0.0004; 2.5000
22.3742; 3.1453; 1.8057; 1.3588; -2.8074; 4.7549; -0.0005; 2.5000
22.1116; 3.0542; 1.8868; 1.3258; -2.8084; 5.0329; -0.0014; 2.5000
21.8513; 2.9643; 1.8744; 1.2924; -2.8106; 5.3083; -0.0024; 2.5000
21.5933; 2.8760; 1.8059; 1.3281; -2.8138; 5.5810; -0.0035; 2.5000
21.3375; 2.7896; 1.8249; 1.3039; -2.8178; 5.8510; -0.0041; 2.5000
21.0838; 2.7051; 1.8658; 1.2877; -2.8220; 6.1183; -0.0037; 2.5000
20.8319; 2.6223; 1.8687; 1.2247; -2.8255; 6.3836; -0.0031; 2.5000
20.5813; 2.5408; 1.8454; 1.2897; -2.8285; 6.6471; -0.0025; 2.5000
20.3317; 2.4603; 1.8941; 1.2815; -2.8307; 6.9093; -0.0018; 2.5000
20.0826; 2.3805; 1.8734; 1.3240; -2.8323; 7.1708; -0.0011; 2.5000
19.8338; 2.3012; 1.8574; 1.3746; -2.8331; 7.4320; -0.0005; 2.5000
19.5847; 2.2219; 1.8797; 1.5063; -2.8332; 7.6934; 0.0002; 2.5000
19.3351; 2.1423; 1.8856; 1.2872; -2.8326; 7.9554; 0.0009; 2.5000
19.0844; 2.0622; 1.8683; 1.2251; -2.8313; 8.2186; 0.0016; 2.5000
18.8325; 1.9812; 1.9152; 1.1933; -2.8293; 8.4833; 0.0022; 2.5000
18.5787; 1.8989; 1.9349; 1.1839; -2.8267; 8.7500; 0.0028; 2.5000
18.3229; 1.8152; 1.9096; 1.1455; -2.8232; 9.0192; 0.0036; 2.5000
18.0652; 1.7297; 1.9026; 1.1845; -2.8186; 9.2907; 0.0049; 2.5000
17.8072; 1.6426; 1.9922; 1.1068; -2.8125; 9.5630; 0.0063; 2.5000
17.5503; 1.5538; 1.9539; 1.1239; -2.8047; 9.8347; 0.0079; 2.5000
17.2961; 1.4635; 2.0267; 1.0875; -2.7953; 10.1046; 0.0097; 2.5000
17.0459; 1.3718; 2.0486; 1.0722; -2.7839; 10.3710; 0.0118; 2.5000
16.8014; 1.2786; 2.1054; 1.0018; -2.7702; 10.6327; 0.0144; 2.5000
16.5639; 1.1841; 2.1163; 0.9500; -2.7540; 10.8883; 0.0175; 2.5000
16.3350; 1.0882; 2.1393; 0.9146; -2.7347; 11.1365; 0.0216; 2.5000
16.1161; 0.9911; 2.1932; 0.8490; -2.7117; 11.3759; 0.0268; 2.5000
15.9089; 0.8928; 0.7568; 0.8698; -2.6841; 11.6053; 0.0338; 2.5000
15.7146; 0.7934; 0.7428; 0.7828; -2.6507; 11.8235; 0.0432; 2.5000
15.5349; 0.6930; 0.7382; 0.6990; -2.5907; 12.0294; 0.0501; 2.5000
15.2194; 0.4893; 0.7614; 0.6066; -2.5237; 12.4049; 0.0666; 2.5000
14.9578; 0.2828; 0.8786; 0.5863; -2.4247; 12.7382; 0.0819; 2.5000
14.7439; 0.0748; 0.9223; 0.4494; -2.3182; 13.0366; 0.0958; 2.5000
14.5717; -0.1338; 1.0988; 0.3781; -2.2087; 13.3070; 0.1052; 2.5000
14.4352; -0.3416; 1.2158; 0.4011; -2.1023; 13.5557; 0.1070; 2.5000
14.3283; -0.5477; 1.2624; 0.3777; -2.0024; 13.7878; 0.1060; 2.5000
14.2460; -0.7525; 1.3421; 0.3797; -1.9074; 14.0086; 0.1061; 2.5000
14.1842; -0.9597; 1.4405; 0.4538; -1.8192; 14.2248; 0.0953; 2.5000
